Id;Material;TemperaturaSintetizacao;EstruturaCristalina;ConstanteDieletrica;FatorQualidade;FrequenciaMedicao;VariacaoTemperaturaFrequenciaRessonante;Referencia;Elementos;Compostos
81;Li2MgSiO4+2 wt% LMZBS glass;875/2h;Orthorhombic;5.9;111000;8;;19;Li,Mg,Si,O,Zn,B;Li2,Mg,Si,O4,Li2,O,Mg,O,Zn,O,B2,O3,Si,O2
82;MgO-B2O3-SiO2+10 wt% TiO2;1050;Composite;5.9;16500;;;41;Mg,O,B,Si,Ti;Mg,O,B2,O3,Si,O2,Ti,O2
83;0.84SiO2- 0.16TiO2;1275/3h;Composite;5.9;36700;12.5;-5;42;Si,O,Ti;Si,O2,Ti,O2
84;Al2O3+50 vol% ZBS glass;800;Composite;6.0;14400;12.5;;35;Al,O,Zn,B,Si;Al2,O3,Zn,O,B2,O3,Si,O2
85;Zn2-xSiO4-x+25 mol% B2O3;900;Composite;6.0;70000;;-22;43;Zn,Si,O,B;Zn2,Si,O4,B2,O3
86;CaO-B2O3-SiO2;830;Glass;6.0;5000;10;;44;Ca,O,B,Si;Ca,O,B2,O3,Si,O2
87;Al2O3+50 vol% ZBS glass;850;Composite;6.0;16950;12.5;;35;Al,O,Zn,B,Si;Al2,O3,Zn,O,B2,O3,Si,O2
88;Al2O3+50 vol% ZBS glass;750;Composite;6.0;9200;12.4;;35;Al,O,Zn,B,Si;Al2,O3,Zn,O,B2,O3,Si,O2
89;K0.67Ba0.33Ga1.33Ge2.67O8;970;Monoclinic P21/a;6.0;134000;13;-22;9;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
90;KxBa1-xGa2-xGe2+xO8 (x=0.67);910;Monoclinic C2/m;6.0;104500;;-20;9;K,Ba,Ga,Ge,O;K,Ba1,Ga2,Ge2,O8
91;Na0.8Ca0.2Al1.2Si2.8O8;1100;Triclinic P-1;6.0;17600;;0;45;Na,Ca,Al,Si,O;Na0,Ca0,Al1,Si2,O8
92;MgO-Al2O3-B2O3-SiO2-TiO2;;Composite;6.1;4200;;;46;Mg,O,Al,B,Si,Ti;Mg,O,Al2,O3,B2,O3,Si,O2,Ti,O2
93;alfa- Mg2P2O7;1150;Throtveitite type Monoclinic P21/c;6.1;38180;;-746;47;Mg,P,O;Mg2,P2,O7
94;CaWO4+0.5 wt% B2O3;1050;Sheelite Tetragonal I41/a;6.1;38100;;-47;48,49;Ca,W,O,B;Ca,W,O4,B2,O3
95;(Mg0.9Ni0.1)2Al4Si5O18;1440/2h;Orthorhombic Cccm;6.1;99100;;-32;50;Mg,Ni,Al,Si,O;Mg0,Ni0,Al4,Si5,O18
96;MgO-B2O3-SiO3 glass ceramic;;Glass;6.1;11300;;;51;Mg,O,B,Si;Mg,O,B2,O3,Si,O3
97;K0.6Ba0.4Ga1.4Ge2.6O8;970;Monoclinic P21/a;6.1;120900;13;-23;9;K,Ba,Ga,Ge,O;K0,Ba0,Ga1,Ge2,O8
98;Mg2B2O5;1310;Monoclinic P21/c;6.2;32000;;-45;52;Mg,B,O;Mg2,B2,O5
99;KGaGe3O8;970;Monoclinic P21/a;6.2;19800;;-21;39;K,Ga,Ge,O;K,Ga,Ge3,O8
100;Mg2Al4Si5O18 cordierite;1440;Orthorhombic Cccm;6.2;40000;;-25;38;Mg,Al,Si,O,Fe;Mg2,Al4,Si5,O18,Mg,Fe,Al4,Si5,O18
101;50 wt% Al2O3+50 wt%(SiO2-B2O3-Al2O3);875;Composite;6.2;11400;-;-35;27;Al,O,Si,B;Al2,O3,Si,O2,B2,O3,Al2,O3
102;45 wt% Al2O3+55 wt%(SiO2-B2O3-Al2O3);875;Composite;6.3;11500;-;-33;27;Al,O,Si,B;Al2,O3,Si,O2,B2,O3,Al2,O3
103;AlSbO4;1100/3h;Tetragonal P42/mnm;6.3;3200;4;-;53;Al,Sb,O;Al,Sb,O4
104;CaO-B2O3-SiO2+4 wt% La2O3-B2O3;850;Glass;6.3;10000;;;54;Ca,O,B,Si,La;Ca,O,B2,O3,Si,O2,La2,O3,B2,O3
105;Al2W3-xMoxO12 (x=0);1100;Orthorhombic Pbcn;6.3;9600;;-67;37;Al,W,Mo,O;Al2,W3,Mo,O12
106;Al2W3-xMoxO12 (x=2);810;Orthorhombic Pbcn;6.3;36500;;-55;37;Al,W,Mo,O;Al2,W3,Mo,O12
107;0.9Mg2Al4Si5O18-0.1TiO2;;Composite;6.3;55400;17.6;-21;55;Mg,Al,Si,O,Ti;Mg2,Al4,Si5,O18,Ti,O2
108;42.5SiO2-21MgO-20Al2O3-16.5TiO2;;Composite;6.3;27000;9.7;-6;56;Si,O,Mg,Al,Ti;Si,O2,Mg,O,Al2,O3,Ti,O2
109;Al2W3-xMoxO12 (x=3);810;Monoclinic P21/a;6.4;49200;;-41;37;Al,W,Mo,O;Al2,W3,Mo,O12
110;55 wt% Al2O3+45 wt%(SiO2-B2O3-Al2O3);900;Composite;6.4;13000;-;-58;27;Al,O,Si,B;Al2,O3,Si,O2,B2,O3,Al2,O3
111;Mg3(VO4)2;950/5h;Orthorhombic Cmca;6.4;48800;-;-83;57;Mg,V,O;Mg3,V,O42
